,ticker,wr_range,long_trigger,short_trigger,hold_return_pct,trade_return_pct,delta_return,delta_return_pct_diff
0,MAX,5,-85,-45,0.1731568016614744,0.312182,0.1390251983385256,0.8028861529235399
0,MAX,5,-85,-48,0.1731568016614744,0.312182,0.1390251983385256,0.8028861529235399
0,MAX,5,-85,-51,0.1731568016614744,0.355258,0.18210119833852562,1.051654896551726
0,MAX,5,-85,-54,0.1731568016614744,0.355258,0.18210119833852562,1.051654896551726
0,MAX,5,-85,-57,0.1731568016614744,0.174154,0.0009971983385256011,0.005758932533734062
0,MAX,5,-85,-60,0.1731568016614744,0.174154,0.0009971983385256011,0.005758932533734062
0,MAX,5,-85,-63,0.1731568016614744,0.174154,0.0009971983385256011,0.005758932533734062
0,MAX,5,-85,-66,0.1731568016614744,0.174154,0.0009971983385256011,0.005758932533734062
0,MAX,5,-85,-69,0.1731568016614744,0.163826,-0.009330801661474403,-0.053886428785606344
0,MAX,5,-85,-72,0.1731568016614744,0.163826,-0.009330801661474403,-0.053886428785606344
0,MAX,5,-82,-45,0.1731568016614744,0.725202,0.5520451983385256,3.1881230944527776
0,MAX,5,-82,-48,0.1731568016614744,0.725202,0.5520451983385256,3.1881230944527776
0,MAX,5,-82,-51,0.1731568016614744,0.781828,0.6086711983385256,3.515144611694157
0,MAX,5,-82,-54,0.1731568016614744,0.781828,0.6086711983385256,3.515144611694157
0,MAX,5,-82,-57,0.1731568016614744,0.543739,0.37058219833852557,2.140153865067469
0,MAX,5,-82,-60,0.1731568016614744,0.543739,0.37058219833852557,2.140153865067469
0,MAX,5,-82,-63,0.1731568016614744,0.543739,0.37058219833852557,2.140153865067469
0,MAX,5,-82,-66,0.1731568016614744,0.543739,0.37058219833852557,2.140153865067469
0,MAX,5,-82,-69,0.1731568016614744,0.530151,0.35699419833852564,2.061681637181412
0,MAX,5,-82,-72,0.1731568016614744,0.530151,0.35699419833852564,2.061681637181412
0,MAX,5,-79,-45,0.1731568016614744,0.852541,0.6793841983385256,3.923520137931039
0,MAX,5,-79,-48,0.1731568016614744,0.852541,0.6793841983385256,3.923520137931039
0,MAX,5,-79,-51,0.1731568016614744,0.913344,0.7401871983385256,4.27466429985008
0,MAX,5,-79,-54,0.1731568016614744,0.913344,0.7401871983385256,4.27466429985008
0,MAX,5,-79,-57,0.1731568016614744,0.657677,0.48452019833852555,2.79815862668666
0,MAX,5,-79,-60,0.1731568016614744,0.595458,0.42230119833852564,2.43883690554723
0,MAX,5,-79,-63,0.1731568016614744,0.680668,0.5075111983385256,2.930934236881563
0,MAX,5,-79,-66,0.1731568016614744,0.680668,0.5075111983385256,2.930934236881563
0,MAX,5,-79,-69,0.1731568016614744,0.618136,0.4449791983385256,2.5698049055472296
0,MAX,5,-79,-72,0.1731568016614744,0.618136,0.4449791983385256,2.5698049055472296
0,MAX,5,-76,-45,0.1731568016614744,0.623117,0.44996019833852563,2.5985707406296887
0,MAX,5,-76,-48,0.1731568016614744,0.623117,0.44996019833852563,2.5985707406296887
0,MAX,5,-76,-51,0.1731568016614744,0.676389,0.5032321983385256,2.9062225307346363
0,MAX,5,-76,-54,0.1731568016614744,0.676389,0.5032321983385256,2.9062225307346363
0,MAX,5,-76,-57,0.1731568016614744,0.452391,0.2792341983385256,1.6126088935532257
0,MAX,5,-76,-60,0.1731568016614744,0.397886,0.22472919833852562,1.2978363898050995
0,MAX,5,-76,-63,0.1731568016614744,0.472531,0.2993741983385256,1.728919658170917
0,MAX,5,-76,-66,0.1731568016614744,0.472531,0.2993741983385256,1.728919658170917
0,MAX,5,-76,-69,0.1731568016614744,0.417725,0.2445681983385256,1.4124088455772137
0,MAX,5,-76,-72,0.1731568016614744,0.417725,0.2445681983385256,1.4124088455772137
0,MAX,5,-73,-45,0.1731568016614744,0.895513,0.7223561983385256,4.171688269865072
0,MAX,5,-73,-48,0.1731568016614744,0.895513,0.7223561983385256,4.171688269865072
