,Ticker,W%R_range,Long Trigger,Short Trigger,HODL_return,Trade Return,delta
0,ATVI,5,-80,-20,0.39129777912071323,0.120121,-0.27117677912071325
1,ATVI,5,-80,-30,0.39129777912071323,-0.04225,-0.43354777912071324
2,ATVI,5,-80,-40,0.39129777912071323,-0.007815,-0.39911277912071325
3,ATVI,5,-80,-50,0.39129777912071323,0.049843,-0.3414547791207132
4,ATVI,5,-80,-60,0.39129777912071323,-0.317698,-0.7089957791207132
5,ATVI,5,-80,-70,0.39129777912071323,-0.21611,-0.6074077791207132
6,ATVI,5,-80,-80,0.39129777912071323,-0.085209,-0.4765067791207132
7,ATVI,5,-80,-90,0.39129777912071323,0.033485,-0.35781277912071324
8,ATVI,5,-70,-20,0.39129777912071323,0.088046,-0.3032517791207132
9,ATVI,5,-70,-30,0.39129777912071323,-0.129294,-0.5205917791207132
10,ATVI,5,-70,-40,0.39129777912071323,-0.113043,-0.5043407791207133
11,ATVI,5,-70,-50,0.39129777912071323,-0.140185,-0.5314827791207133
12,ATVI,5,-70,-60,0.39129777912071323,-0.391917,-0.7832147791207132
13,ATVI,5,-70,-70,0.39129777912071323,-0.411393,-0.8026907791207132
14,ATVI,5,-70,-80,0.39129777912071323,-0.175594,-0.5668917791207132
15,ATVI,5,-70,-90,0.39129777912071323,0.04592,-0.3453777791207132
16,ATVI,5,-60,-20,0.39129777912071323,-0.121172,-0.5124697791207132
17,ATVI,5,-60,-30,0.39129777912071323,-0.232804,-0.6241017791207133
18,ATVI,5,-60,-40,0.39129777912071323,-0.168509,-0.5598067791207132
19,ATVI,5,-60,-50,0.39129777912071323,-0.205095,-0.5963927791207132
20,ATVI,5,-60,-60,0.39129777912071323,-0.490937,-0.8822347791207132
21,ATVI,5,-60,-70,0.39129777912071323,-0.465079,-0.8563767791207133
22,ATVI,5,-60,-80,0.39129777912071323,-0.252818,-0.6441157791207133
23,ATVI,5,-60,-90,0.39129777912071323,-0.129158,-0.5204557791207132
24,ATVI,5,-50,-20,0.39129777912071323,-0.042079,-0.4333767791207132
25,ATVI,5,-50,-30,0.39129777912071323,-0.355817,-0.7471147791207132
26,ATVI,5,-50,-40,0.39129777912071323,-0.338595,-0.7298927791207133
27,ATVI,5,-50,-50,0.39129777912071323,-0.36263,-0.7539277791207133
28,ATVI,5,-50,-60,0.39129777912071323,-0.441182,-0.8324797791207132
29,ATVI,5,-50,-70,0.39129777912071323,-0.416086,-0.8073837791207132
30,ATVI,5,-50,-80,0.39129777912071323,-0.175467,-0.5667647791207132
31,ATVI,5,-50,-90,0.39129777912071323,-0.182993,-0.5742907791207132
32,ATVI,5,-40,-20,0.39129777912071323,0.095289,-0.2960087791207132
33,ATVI,5,-40,-30,0.39129777912071323,-0.263778,-0.6550757791207132
34,ATVI,5,-40,-40,0.39129777912071323,-0.378666,-0.7699637791207132
35,ATVI,5,-40,-50,0.39129777912071323,-0.354356,-0.7456537791207132
36,ATVI,5,-40,-60,0.39129777912071323,-0.446926,-0.8382237791207132
37,ATVI,5,-40,-70,0.39129777912071323,-0.401768,-0.7930657791207132
38,ATVI,5,-40,-80,0.39129777912071323,-0.169327,-0.5606247791207133
